ApproxErrorHigh,ApproxErrorLow,M000_MF,M000_mass,M000n1_InterpMF,M000n1_MF,M000n1_mass,directRatio,interpolatedRatio,numClusters1,numClusters2,stepNum
0.001259103334387527,0.0012578603641080499,0.0010685,3484101000000.0,0.0009636584696931542,0.00096397,3482870000000.0,0.9021712681328966,0.9018797095864803,1082834.0,976911.0,499
0.0014463039536828726,0.001444662231065509,0.00080831,4732952000000.0,0.0007281565885729031,0.00072879,4728572000000.0,0.9016219024879069,0.9008382781023407,819157.0,738571.0,499
0.0016509664906639813,0.0016488076288680988,0.00061235,6423003000000.0,0.0005466246066638242,0.00054678,6421064000000.0,0.8929207152772107,0.8926669497245435,620573.0,554116.0,499
0.0019011239716871197,0.0018982552957275724,0.00046046,8715419000000.0,0.00041011521458140366,0.00041008,8716214000000.0,0.8905876731963689,0.890664150157242,466646.0,415581.0,499
0.0021654753487758884,0.0021617007532721117,0.00034775,11830440000000.0,0.000305431251650613,0.00030544,11830100000000.0,0.878332135154565,0.878306978146982,352417.0,309540.0,499
0.0024946812564534764,0.002489627356439112,0.00025868,16062620000000.0,0.00022518963702262103,0.00022523,16059760000000.0,0.8706896551724138,0.8705336207771031,262157.0,228256.0,499
0.0028870762380678737,0.002880264747033699,0.00019142,21803630000000.0,0.0001655675660539414,0.00016556,21804620000000.0,0.8649043987044196,0.864943924636618,193991.0,167778.0,499
0.00336797391427644,0.003358655562887991,0.00013951,29600280000000.0,0.00012000330729044807,0.00012012,29574230000000.0,0.8610135474159558,0.8601771004977999,141378.0,121728.0,499
0.0038940463842909463,0.0038813460788564057,0.00010154,40166020000000.0,8.567483264545025e-05,8.5715e-05,40149090000000.0,0.8441500886350207,0.8437545070459942,102901.0,86866.0,499
0.004594179927647293,0.004576443466499756,7.2599e-05,54498700000000.0,6.1024183273488864e-05,6.1041e-05,54485960000000.0,0.8407967051887767,0.8405650666467701,73574.0,61860.0,499
0.005465240741581902,0.005440010939725355,5.0942e-05,73966680000000.0,4.2576328348192826e-05,4.2547e-05,74009940000000.0,0.8352047426485022,0.8357804630401795,51626.0,43118.0,499
0.006398038413179819,0.006362333562806647,3.5496e-05,100373800000000.0,2.873385036769611e-05,2.875e-05,100330700000000.0,0.8099504169483885,0.8094954464642807,35973.0,29136.0,499
0.007933679204453795,0.007879583871120265,2.354e-05,136017300000000.0,1.930514414657553e-05,1.9336e-05,135866600000000.0,0.8214103653355989,0.820099581417822,23856.0,19596.0,499
0.009727945042509943,0.009645518546040758,1.5378e-05,184625900000000.0,1.243086239053764e-05,1.2423e-05,184707000000000.0,0.8078423722200545,0.8083536474533515,15584.0,12590.0,499
0.012000527756436804,0.011871412867791704,9.6929e-06,250460900000000.0,7.603721632868347e-06,7.6079e-06,250378000000000.0,0.7848940977416459,0.7844630227143937,9823.0,7710.0,499
0.015602372522176835,0.015386279296523234,5.813e-06,339485800000000.0,4.590267575340217e-06,4.5845e-06,339743100000000.0,0.7886633407878891,0.7896555264648576,5891.0,4646.0,499
0.02036652129614997,0.019993251206732433,3.3402e-06,460175800000000.0,2.591945107389361e-06,2.5912e-06,460246200000000.0,0.775761930423328,0.775985003110401,3385.0,2626.0,499
0.028614042099432378,0.027895572452734455,1.7564e-06,622286300000000.0,1.3874532109854902e-06,1.3755e-06,624891800000000.0,0.7831359599180141,0.7899414774456218,1780.0,1394.0,499
0.04290668025152352,0.041331401211444956,8.0322e-07,843743500000000.0,6.424843807830076e-07,6.3942e-07,845336200000000.0,0.7960708149697467,0.7998859350900221,814.0,648.0,499
0.0013551910456778915,0.0013536673367378661,0.0008504,3479679000000.0,0.0007256566257315859,0.00072606,3477918000000.0,0.8537864534336783,0.8533121186871895,861818.0,735803.0,247
0.0016021076863875724,0.0015999774757563324,0.00060785,4726710000000.0,0.0005184096670074452,0.00051913,4721012000000.0,0.8540429382248911,0.852857887649001,616013.0,526097.0,247
0.0018828866016744588,0.0018799090690461249,0.00043286,6413235000000.0,0.00036484693949092543,0.00036509,6409700000000.0,0.8434366769856304,0.8428751547634926,438675.0,369992.0,247
